id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
AFTPH	10	0.53278	0.77182	0.999686	66	2	-0.077488	0.32863	0.60894	0.951464	64	4	-0.077488
AHNAK	10	0.54917	0.78086	0.999686	67	1	0.37532	0.090865	0.27123	0.904966	29	6	0.37532
AGAP2	10	0.56967	0.79217	0.999686	68	3	-0.056853	0.32498	0.60579	0.951464	62	3	-0.056853
ADCK4	10	0.58678	0.80153	0.999686	69	1	0.33858	0.0032956	0.018318	0.589696	3	8	0.33858
ADRA1B	10	0.59858	0.80816	0.999686	70	2	0.01884	0.20372	0.45826	0.951464	48	3	0.01884
ADARB1	10	0.60882	0.81363	0.999686	71	1	0.11123	0.21988	0.48071	0.951464	49	4	0.11123
ADCK5	10	0.61413	0.81647	0.999686	72	2	0.046549	0.017035	0.075394	0.655323	11	4	0.046549
AEBP2	10	0.61734	0.81839	0.999686	73	3	0.012265	0.53574	0.78369	0.996043	75	3	0.012265
AATK	10	0.62328	0.8218	0.999686	74	2	0.27488	0.038897	0.14713	0.700623	21	6	0.27488
ACD	10	0.63388	0.82776	0.999686	75	3	-0.029641	0.35257	0.63081	0.970482	65	2	-0.029641
AHRR	9	0.63744	0.82244	0.999686	76	2	-0.049891	0.0044955	0.023588	0.589696	4	3	-0.049891
ADRBK1	10	0.67075	0.84913	0.999686	77	3	0.36204	0.011415	0.053887	0.655323	8	7	0.36204
ADRA1A	10	0.67812	0.85325	0.999686	78	3	-0.066085	0.014914	0.06731	0.655323	10	3	-0.066085
AHNAK2	10	0.69032	0.86025	0.999686	79	2	0.33608	0.030172	0.12139	0.683907	17	6	0.33608
AFF4	10	0.69378	0.8621	0.999686	80	2	0.30669	0.014086	0.064067	0.655323	9	7	0.30669
ADD1	10	0.69969	0.86524	0.999686	81	3	0.11567	0.29633	0.58034	0.951464	59	3	0.11567
ADAD1	10	0.7171	0.87563	0.999686	82	2	-0.0043567	0.62201	0.8274	0.996043	81	3	-0.0043567
ADRBK2	10	0.7928	0.90974	0.999686	83	2	0.2293	0.046472	0.16706	0.707439	23	6	0.2293
ACTN4	10	0.79366	0.91002	0.999686	84	2	0.2223	0.023513	0.098298	0.655323	15	7	0.2223
AFAP1L2	10	0.84079	0.9269	0.999686	85	2	0.23074	0.19017	0.43899	0.934015	47	5	0.23074
ADRB2	10	0.86369	0.93581	0.999686	86	2	-0.009076	0.68056	0.85841	0.996043	85	3	-0.009076
ACVR1	10	0.87782	0.94213	0.999686	87	2	0.22596	0.10369	0.29907	0.904966	30	5	0.22596
ACSS2	10	0.88671	0.94606	0.999686	88	2	0.19323	0.05802	0.19551	0.782056	25	6	0.19323
ADCK2	10	0.88934	0.9472	0.999686	89	2	-0.0071793	0.42843	0.69518	0.996043	67	4	-0.0071793
ACTN1	10	0.89749	0.95123	0.999686	90	2	0.12145	0.18938	0.43778	0.934015	46	3	0.12145
ABL2	10	0.91526	0.96021	0.999686	91	1	0.15642	0.27968	0.56126	0.951464	56	5	0.15642
ADCK1	10	0.91976	0.96258	0.999686	92	2	0.31253	0.011318	0.053498	0.655323	7	6	0.31253
ADARB2	10	0.92256	0.96321	0.999686	93	1	0.36865	0.021644	0.091522	0.655323	13	6	0.36865
ADCK3	10	0.96031	0.97294	0.999686	94	1	0.34147	0.028095	0.1138	0.683907	16	6	0.34147
ADNP	10	0.97043	0.97718	0.999686	95	1	0.35587	0.0072773	0.037899	0.631653	6	7	0.35587
ADNP2	10	0.97652	0.97995	0.999686	96	1	0.11441	0.044143	0.16086	0.707439	22	5	0.11441
AGTPBP1	10	0.9788	0.98125	0.999686	97	1	0.018825	0.047602	0.16979	0.707439	24	4	0.018825
AGAP3	10	0.98731	0.98757	0.999686	98	1	0.36057	0.0028905	0.016282	0.589696	2	8	0.36057
AES	10	0.9959	0.99575	0.999686	99	0	0.21432	0.24818	0.51847	0.951464	53	5	0.21432
ACVR1C	10	0.99963	0.99969	0.999686	100	0	0.29763	0.03502	0.13678	0.683907	20	7	0.29763
